index,North,South,West,East,ND,SD,WD,ED
1,,2,,7,,,,
2,1,3,,15,,,,
3,2,,,9,,,,
4,,5,,10,,,,
5,4,,,,,,,
6,,7,,13,,,,
7,6,8,1,14,,,,
8,7,,,,,,,
9,,10,3,,,,,
10,9,,4,16,,,,
11,,,,12,,,,
12,,13,11,,,,,
13,12,,6,,,,,
14,,15,7,21,,,,
15,14,16,2,,,,,
16,15,17,10,31,,,,
17,16,,18,,,,,
18,,,,17,,,,
19,,20,,26,,,,
20,19,,,27,,,,
21,,22,14,,,,,
22,21,,,29,,,,
23,,24,,30,,,,
24,23,,,37,,,,
25,,,,32,,,,
26,,,19,,,,,
27,,28,20,,,,,
28,27,29,,34,,,,
29,28,30,22,35,,,,
30,29,,23,,,,,
31,,32,16,,,,,
32,31,,25,,,,,
33,,34,,,,,,
34,33,,28,,,,,
35,,36,29,,,,,
36,35,,,,,,,
37,,38,24,,,,,
38,37,,,,,,,
